MUNICÍPIO,TOTAL_MORADORES
FORTALEZA,9364
ITAPIPOCA,7620
JUAZEIRO DO NORTE,4495
MARACANAÚ,4403
TRAIRI,4377
QUIXADÁ,4018
TIANGUÁ,3926
SOBRAL,3789
MARANGUAPE,3728
ITAREMA,3080
CAUCAIA,2930
VIÇOSA DO CEARÁ,2899
QUIXERAMOBIM,2621
MAURITI,2587
GRANJA,2518
ACARAÚ,2368
CRATO,2266
SÃO BENEDITO,2028
MORADA NOVA,2025
SANTANA DO ACARAÚ,1955
AQUIRAZ,1926
MISSÃO VELHA,1921
MOMBAÇA,1829
PEDRA BRANCA,1824
ICÓ,1819
SANTA QUITÉRIA,1797
LIMOEIRO DO NORTE,1719
UBAJARA,1694
PACAJUS,1682
PACATUBA,1662
JARDIM,1655
CANINDÉ,1618
ITATIRA,1591
NOVO ORIENTE,1580
MILAGRES,1572
JAGUARUANA,1544
URUBURETAMA,1524
MARCO,1509
CASCAVEL,1494
MASSAPÊ,1492
LAVRAS DA MANGABEIRA,1484
CAMOCIM,1452
BEBERIBE,1445
TAMBORIL,1397
BOA VIAGEM,1387
PARAIPABA,1384
PENTECOSTE,1381
PARACURU,1365
TEJUÇUOCA,1343
ACOPIARA,1331
TAUÁ,1328
ORÓS,1303
AMONTADA,1302
JUCÁS,1297
SÃO GONÇALO DO AMARANTE,1280
SALITRE,1280
CRATEÚS,1268
RUSSAS,1260
SANTANA DO CARIRI,1234
JAGUARIBE,1214
IGUATU,1213
REDENÇÃO,1200
ITAPIÚNA,1178
PINDORETAMA,1172
BREJO SANTO,1172
GUARACIABA DO NORTE,1140
MONSENHOR TABOSA,1106
UMIRIM,1074
ITAPAGÉ,1070
MORRINHOS,1032
MADALENA,1015
TURURU,1008
IPU,1002
TABULEIRO DO NORTE,997
BARBALHA,967
NOVA RUSSAS,967
SENADOR POMPEU,958
CAMPOS SALES,943
PARAMBU,900
ARARIPE,895
OCARA,882
NOVA OLINDA,880
VÁRZEA ALEGRE,874
PORTEIRAS,866
BELA CRUZ,864
IRAUÇUBA,855
QUITERIANÓPOLIS,833
JAGUARETAMA,831
BATURITÉ,805
ARACATI,772
SABOEIRO,765
RERIUTABA,760
PENAFORTE,753
JIJOCA DE JERICOACOARA,746
URUOCA,735
MIRAÍMA,734
ARACOIABA,703
MARTINÓPOLE,703
CHAVAL,695
MULUNGU,680
VARJOTA,675
PORANGA,672
QUIXELÔ,663
MERUOCA,656
BARROQUINHA,654
CARIDADE,650
FARIAS BRITO,644
PARAMOTI,632
IPUEIRAS,630
PALMÁCIA,628
INDEPENDÊNCIA,627
HORIZONTE,625
MILHÃ,613
PEREIRO,604
AURORA,586
CRUZ,579
COREAÚ,577
GUAIÚBA,571
AIUABA,570
CEDRO,561
IBARETAMA,551
ASSARÉ,549
CHORÓ,546
ITAITINGA,546
QUIXERÉ,542
PIQUET CARNEIRO,532
PACOTI,528
SÃO LUÍS DO CURU,526
FORQUILHA,523
MORAÚJO,518
EUSÉBIO,512
ALTO SANTO,510
CARIRÉ,504
ICAPUÍ,503
SOLONÓPOLE,497
ACARAPE,495
BANABUIÚ,484
IBIAPINA,472
CROATÁ,460
POTENGI,446
HIDROLÂNDIA,442
JAGUARIBARA,441
BARREIRA,436
CAPISTRANO,421
SENADOR SÁ,415
CARIÚS,407
UMARI,406
TARRAFAS,405
PALHANO,389
ARATUBA,387
MUCAMBO,387
PIRES FERREIRA,381
CHOROZINHO,377
BARRO,363
CARIRIAÇU,345
JATI,335
IPAUMIRIM,305
FORTIM,277
CARNAUBAL,275
CATARINA,272
GRAÇA,259
IRACEMA,257
CATUNDA,255
PACUJÁ,255
POTIRETAMA,249
IBICUITINGA,247
GENERAL SAMPAIO,242
ABAIARA,231
IPAPORANGA,224
APUIARÉS,219
FRECHEIRINHA,212
ALCÂNTARAS,211
ARARENDÁ,206
ALTANEIRA,205
ANTONINA DO NORTE,192
GROAÍRAS,168
ARNEIROZ,163
BAIXIO,146
GUARAMIRANGA,134
ITAIÇABA,114
SÃO JOÃO DO JAGUARIBE,111
GRANJEIRO,96
DEPUTADO IRAPUAN PINHEIRO,88
ERERÊ,39
